query,lat,lon,lat_min,lat_max,lon_min,lon_max
on the bus CA USA,43.0351449,-87.9083029,43.0350949,43.0351949,-87.9083529,-87.9082529
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
High Street Oakland,37.7650798,-122.2243655,37.7648689,37.7650798,-122.2246045,-122.2243655
"El Cerrito, CA CA USA",37.9154056,-122.301411,37.8974916,37.9383423,-122.3233212,-122.2811178
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
Ashby and Domingo Berkeley,37.8581709,-122.244117,37.8581209,37.8582209,-122.244167,-122.244067
San Pablo CA USA,37.9621457,-122.3455263,37.9490752,37.9815573,-122.3586075,-122.3184313
San Leandro Bart San Leandro,37.7215513,-122.160358,37.7215013,37.7216013,-122.160408,-122.160308
Fairmont Dr:152nd Av (54123) CA USA,37.7069861,-122.1231735,37.7069361,37.7070361,-122.1232235,-122.1231235
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Hesperian Hayward,37.6171787,-122.0884276,37.6171787,37.6172798,-122.088488,-122.0884276
Broadway and 28th St (56567) Oakland,37.8164929,-122.2634359,37.8164429,37.8165429,-122.2634859,-122.2633859
MacArthur Blvd and 88th Av (51363) Oakland,37.757388,-122.1621276,37.757338,37.757438,-122.1621776,-122.1620776
Fremont Bart Station Fremont,37.5574802,-121.9766318,37.5524802,37.5624802,-121.9816318,-121.9716318
M CA USA,38.06270615,-122.57673133425871,38.0621671,38.0632632,-122.5775611,-122.5758927
Harris Hayward,37.6341817,-122.0726325,37.6341413,37.6343317,-122.0732253,-122.0721185
downtown CA USA,34.0428494,-118.2476732,34.0147136,34.0653505,-118.2739742,-118.2229172
Niles Blvd and Vallejo St (56619) Fremont,NA,NA,NA,NA,NA,NA
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
na Oakland,40.4470403,-79.9533557,40.4413628,40.4603095,-79.9633837,-79.9465034
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
na CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Paseo Padre Parkway Fremont,37.5377164,-121.9384736,37.536314,37.53876,-121.9393037,-121.9384736
MAcArthur Blvd and 106th Oakland,37.7431584,-122.1528178,37.7431084,37.7432084,-122.1528678,-122.1527678
103rd:Bancroft Oakland,37.7436323,-122.1585453,37.7435823,37.7436823,-122.1585953,-122.1584953
Sabre St & Corsair Blvd (55971) Hayward,36.8229793,-76.0671257,36.8229793,36.8229848,-76.0671257,-76.066957
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Oakland CA USA,37.8044557,-122.2713563,37.6336763,37.8854257,-122.355881,-122.1144203
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
San Francisco San Francisco,37.7790262,-122.419906,37.6403143,37.929811,-123.173825,-122.281479
na CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Union City BART CA USA,37.5904337,-122.0176108,37.5903837,37.5904837,-122.0176608,-122.0175608
Skyline HS Oakland,37.7986,-122.16193,37.79855,37.79865,-122.16198,-122.16188
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Castlemont High school Oakland,37.75906215,-122.16436419621152,37.7575896,37.7608535,-122.166502,-122.1624765
Fruitvale Av and School St (51066) Oakland,NA,NA,NA,NA,NA,NA
Church St. Oakland,37.7669255,-122.1813598,37.7660537,37.768059,-122.1827653,-122.1796017
23rd Ave &amp; 7th St Oakland,40.777691,-73.788436,40.7768529,40.778393,-73.7900335,-73.786442
Mission Bell Dr and El Portal Dr (56065) San Pablo,37.9677047,-122.3431856,37.9676547,37.9677547,-122.3432356,-122.3431356
Mission Blvd and Sycamore Av (52521) Fremont,NA,NA,NA,NA,NA,NA
San Leandro BART Station San Leandro,37.7215513,-122.160358,37.7215013,37.7216013,-122.160408,-122.160308
9th and Broadway Oakland,40.1236518,-88.2076268,40.1236018,40.1237018,-88.2076768,-88.2075768
"2436 Durant Ave, Berkeley CA USA",37.8671503,-122.26036874767969,37.8669201,37.8674027,-122.2607905,-122.2599512
San Leandro BART San Leandro,37.7215513,-122.160358,37.7215013,37.7216013,-122.160408,-122.160308
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
4135 Park Blvd Oakland,37.8067796,-122.223924,37.8067296,37.8068296,-122.223974,-122.223874
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
12th and Broadway Oakland,40.1236518,-88.2076268,40.1236018,40.1237018,-88.2076768,-88.2075768
Bancroft Way and Telegraph Av (56888) Berkeley,NA,NA,NA,NA,NA,NA
